Tempo	Nome do Dispositivo	Tipo	PID	Marca	Mensagem
07-14 23:00:13.831	Samsung SM-S918B	Info	1918	SurfaceFlinger	destroyed Task=2730#22756 form LifecycleManager
07-14 23:00:13.831	Samsung SM-S918B	Info	1918	SurfaceFlinger	destroyed Surface(name=RemoteWallpaperAnim:1:1#7)/@0x3d8d6d0 - animation-leash of remote_wallpaper#22754 form LifecycleManager
07-14 23:00:13.831	Samsung SM-S918B	Info	1918	SurfaceFlinger	destroyed 5b8e168 ActivityRecordInputSink com.myvocalist/crc64eea2bef31ba6694c.MainActivity#22717 form LifecycleManager
07-14 23:00:13.816	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22754 Removed Surface(name=RemoteWallpaperAnim:1:1#7)/@0x3d8d6d0 - animation-leash of remote_wallpaper#22754 (200)
07-14 23:00:13.816	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22719 Removed com.myvocalist/crc64eea2bef31ba6694c.MainActivity$_29673#22719 (200)
07-14 23:00:13.816	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22718 Removed c9a6b6b com.myvocalist/crc64eea2bef31ba6694c.MainActivity#22718 (200)
07-14 23:00:13.816	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22711 Removed ActivityRecord{135862822 u0 com.myvocalist/crc64eea2bef31ba6694c.MainActivity t2730}#22711 (200)
07-14 23:00:13.816	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22756 Removed Task=2730#22756 (200)
07-14 23:00:13.816	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22753 Destroyed Surface(name=Task=2730#22710)/@0xf7f8cb6_transition-leash#22753
07-14 23:00:13.816	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22752 Destroyed Surface(name=Task=1#46)/@0xfdcd78_transition-leash#22752
07-14 23:00:13.816	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22751 Destroyed Transition Root: Task=1#22751
07-14 23:00:13.815	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22753 onLayerDestroyed from LayerHierarchyBuilder(RequestedLayerState{Surface(name=Task=2730#22710)/@0xf7f8cb6_transition-leash#22753 !handle z=5})
07-14 23:00:13.815	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22752 onLayerDestroyed from LayerHierarchyBuilder(RequestedLayerState{Surface(name=Task=1#46)/@0xfdcd78_transition-leash#22752 !handle z=2})
07-14 23:00:13.815	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22751 onLayerDestroyed from LayerHierarchyBuilder(RequestedLayerState{Transition Root: Task=1#22751 !handle})
07-14 23:00:13.815	Samsung SM-S918B	Info	1918	SurfaceFlinger	[LayerHierarchy{RequestedLayerState{Surface(name=RemoteWallpaperAnim:1:1#7)/@0x3d8d6d0 - animation-leash of remote_wallpaper#22754} no children}] RelativeParent to null
07-14 23:00:13.815	Samsung SM-S918B	Info	1918	SurfaceFlinger	[LayerHierarchy{RequestedLayerState{Surface(name=RemoteWallpaperAnim:1:1#7)/@0x3d8d6d0 - animation-leash of remote_wallpaper#22754} no children}] reparent to OffscreenRoot
07-14 23:00:13.815	Samsung SM-S918B	Info	1918	SurfaceFlinger	[LayerHierarchy{RequestedLayerState{c9a6b6b com.myvocalist/crc64eea2bef31ba6694c.MainActivity#22718} no children}] RelativeParent to null
07-14 23:00:13.815	Samsung SM-S918B	Info	1918	SurfaceFlinger	[LayerHierarchy{RequestedLayerState{c9a6b6b com.myvocalist/crc64eea2bef31ba6694c.MainActivity#22718} no children}] reparent to OffscreenRoot
07-14 23:00:13.815	Samsung SM-S918B	Info	1918	SurfaceFlinger	[LayerHierarchy{RequestedLayerState{com.myvocalist/crc64eea2bef31ba6694c.MainActivity$_29673#22719} no children}] RelativeParent to null
07-14 23:00:13.815	Samsung SM-S918B	Info	1918	SurfaceFlinger	[LayerHierarchy{RequestedLayerState{com.myvocalist/crc64eea2bef31ba6694c.MainActivity$_29673#22719} no children}] reparent to OffscreenRoot
07-14 23:00:13.815	Samsung SM-S918B	Info	1918	SurfaceFlinger	[LayerHierarchy{RequestedLayerState{Task=2730#22710 z=17} no children}] RelativeParent to null
